"Security Code","Security Description","Period","Date Announced","Currency","Gross Amount","Tax-exempt PIE Amount","Imputation Credits","Amount before RWT","Deducted RWT","Amount after RWT","Supplementary Dividend Amount","Record Date","Ex Date","Payment Date"
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"1 May 2019","AUD",0.890000,-,0.090000,0.800000,-,0.800000,-,14 May 2019,13 May 2019,1 Jul 2019
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"31 Oct 2018","AUD",0.900000,-,0.100000,0.800000,-,0.800000,-,13 Nov 2018,12 Nov 2018,18 Dec 2018
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"1 May 2018","AUD",0.890000,-,0.090000,0.800000,-,0.800000,-,15 May 2018,14 May 2018,2 Jul 2018
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"26 Oct 2017","AUD",0.900000,-,0.100000,0.800000,-,0.800000,-,14 Nov 2017,13 Nov 2017,18 Dec 2017
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"2 May 2017","AUD",0.890000,-,0.090000,0.800000,-,0.800000,-,9 May 2017,8 May 2017,3 Jul 2017
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"3 Nov 2016","AUD",0.890000,-,0.090000,0.800000,-,0.800000,-,15 Nov 2016,14 Nov 2016,16 Dec 2016
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"3 May 2016","AUD",0.900000,-,0.100000,0.800000,-,0.800000,-,10 May 2016,9 May 2016,1 Jul 2016
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"29 Oct 2015","AUD",1.060000,-,0.110000,0.950000,-,0.950000,-,10 Nov 2015,6 Nov 2015,16 Dec 2015
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"5 May 2015","AUD",0.960000,-,0.100000,0.860000,-,0.860000,-,12 May 2015,8 May 2015,1 Jul 2015
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"31 Oct 2014","AUD",1.070000,-,0.120000,0.950000,-,0.950000,-,11 Nov 2014,7 Nov 2014,16 Dec 2014
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"1 May 2014","AUD",0.930000,-,0.100000,0.830000,-,0.830000,-,13 May 2014,9 May 2014,1 Jul 2014
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"29 Oct 2013","AUD",1.010000,-,0.100000,0.910000,-,0.910000,-,13 Nov 2013,11 Nov 2013,16 Dec 2013
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"30 Apr 2013","AUD",0.820000,-,0.090000,0.730000,-,0.730000,-,15 May 2013,13 May 2013,1 Jul 2013
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"25 Oct 2012","AUD",0.790000,-,-,0.790000,-,0.790000,-,14 Nov 2012,12 Nov 2012,19 Dec 2012
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"2 May 2012","AUD",0.660000,-,-,0.660000,-,0.660000,-,16 May 2012,14 May 2012,2 Jul 2012
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"3 Nov 2011","AUD",0.760000,-,-,0.760000,-,0.760000,-,16 Nov 2011,14 Nov 2011,16 Dec 2011
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"3 May 2011","AUD",0.640000,-,-,0.640000,-,0.640000,-,18 May 2011,16 May 2011,1 Jul 2011
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"1 Nov 2010","AUD",0.740000,-,-,0.740000,-,0.740000,-,10 Nov 2010,8 Nov 2010,17 Dec 2010
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"29 Apr 2010","AUD",0.520000,-,-,0.520000,-,0.520000,-,12 May 2010,13 May 2010,1 Jul 2010
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"29 Oct 2009","AUD",0.560000,-,-,0.560000,-,0.560000,-,11 Nov 2009,12 Nov 2009,18 Dec 2009
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"30 Apr 2009","AUD",0.460000,-,-,0.460000,-,0.460000,-,13 May 2009,14 May 2009,1 Jul 2009
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"6 Nov 2008","AUD",0.740000,-,-,0.740000,-,0.740000,-,12 Nov 2008,13 Nov 2008,18 Dec 2008
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"7 May 2008","AUD",0.620000,-,-,0.620000,-,0.620000,-,14 May 2008,15 May 2008,1 Jul 2008
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"25 Oct 2007","AUD",0.740000,-,-,0.740000,-,0.740000,-,14 Nov 2007,15 Nov 2007,21 Dec 2007
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"26 Apr 2007","AUD",0.620000,-,-,0.620000,-,0.620000,-,18 May 2007,21 May 2007,2 Jul 2007
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"31 Oct 2006","AUD",0.690000,-,-,0.690000,-,0.690000,-,15 Nov 2006,16 Nov 2006,15 Dec 2006
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"27 Apr 2006","AUD",0.560000,-,-,0.560000,-,0.560000,-,19 May 2006,22 May 2006,3 Jul 2006
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"25 Oct 2005","AUD",0.590000,-,-,0.590000,-,0.590000,-,14 Nov 2005,15 Nov 2005,16 Dec 2005
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"27 Apr 2005","AUD",0.510000,-,-,0.510000,-,0.510000,-,20 May 2005,23 May 2005,1 Jul 2005
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"26 Oct 2004","AUD",0.540000,-,-,0.540000,-,0.540000,-,12 Nov 2004,15 Nov 2004,17 Dec 2004
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"27 Apr 2004","AUD",0.470000,-,-,0.470000,-,0.470000,-,20 May 2004,21 May 2004,1 Jul 2004
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"24 Oct 2003","AUD",0.510000,-,-,0.510000,-,0.510000,-,13 Nov 2003,14 Nov 2003,19 Dec 2003
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"24 Apr 2003","AUD",0.440000,-,-,0.440000,-,0.440000,-,22 May 2003,23 May 2003,1 Jul 2003
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"24 Oct 2002","AUD",0.460000,-,-,0.460000,-,0.460000,-,7 Nov 2002,8 Nov 2002,13 Dec 2002
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"29 Apr 2002","AUD",0.390000,-,-,0.390000,-,0.390000,-,23 May 2002,24 May 2002,1 Jul 2002
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"25 Oct 2001","AUD",0.400000,-,-,0.400000,-,0.400000,-,8 Nov 2001,9 Nov 2001,14 Dec 2001
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"3 May 2001","AUD",0.330000,-,-,0.330000,-,0.330000,-,17 May 2001,18 May 2001,2 Jul 2001
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"26 Oct 2000","AUD",0.350000,-,-,0.350000,-,0.350000,-,9 Nov 2000,10 Nov 2000,15 Dec 2000
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"1 May 2000","AUD",0.290000,-,-,0.290000,-,0.290000,-,26 May 2000,29 May 2000,3 Jul 2000
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"3 Nov 1999","AUD",0.300000,-,-,0.300000,-,0.300000,-,19 Nov 1999,22 Nov 1999,20 Dec 1999
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"5 May 1999","AUD",0.260000,-,-,0.260000,-,0.260000,-,11 Jun 1999,14 Jun 1999,5 Jul 1999
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"6 Nov 1998","AUD",0.280000,-,-,0.280000,-,0.280000,-,20 Nov 1998,23 Nov 1998,21 Dec 1998
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"29 May 1998","AUD",0.240000,-,-,0.240000,-,0.240000,-,12 Jun 1998,15 Jun 1998,6 Jul 1998
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"27 Nov 1997","AUD",0.260000,-,-,0.260000,-,0.260000,-,12 Dec 1997,15 Dec 1997,21 Jan 1998
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"28 May 1997","AUD",0.220000,-,-,0.220000,-,0.220000,-,13 Jun 1997,16 Jun 1997,7 Jul 1997
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"20 Nov 1996","AUD",0.240000,-,-,0.240000,-,0.240000,-,13 Dec 1996,16 Dec 1996,15 Jan 1997
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"21 May 1996","AUD",0.180000,-,-,0.180000,-,0.180000,-,7 Jun 1996,10 Jun 1996,8 Jul 1996
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"23 Nov 1995","AUD",0.180000,-,-,0.180000,-,0.180000,-,18 Dec 1995,19 Dec 1995,17 Jan 1996
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"24 May 1995","AUD",0.150000,-,-,0.150000,-,0.150000,-,9 Jun 1995,12 Jun 1995,10 Jul 1995
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"23 Nov 1994","AUD",0.140000,-,-,0.140000,-,0.140000,-,9 Dec 1994,12 Dec 1994,20 Jan 1995
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"25 May 1994","AUD",0.110000,-,-,0.110000,-,0.110000,-,10 Jun 1994,13 Jun 1994,14 Jun 1994
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"17 Nov 1993","AUD",0.100000,-,-,0.100000,-,0.100000,-,17 Dec 1993,20 Dec 1993,21 Jan 1994
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"17 May 1993","AUD",0.100000,-,-,0.100000,-,0.100000,-,11 Jun 1993,14 Jun 1993,12 Jul 1993
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"19 Nov 1992","AUD",0.100000,-,-,0.100000,-,0.100000,-,11 Dec 1992,14 Dec 1992,15 Jan 1993
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"27 May 1992","AUD",0.100000,-,-,0.100000,-,0.100000,-,22 Jun 1992,12 Jun 1992,20 Jul 1992
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"21 Nov 1991","AUD",0.100000,-,-,0.100000,-,0.100000,-,7 Jan 1992,24 Dec 1991,29 Jan 1992
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"22 May 1991","AUD",0.100000,-,-,0.100000,-,0.100000,-,21 Jun 1991,17 Jun 1991,19 Jul 1991
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"28 Nov 1990","AUD",0.160000,-,-,0.160000,-,0.160000,-,4 Jan 1991,21 Dec 1990,30 Jan 1991
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"23 May 1990","AUD",0.220000,-,-,0.220000,-,0.220000,-,15 Jun 1990,11 Jun 1990,13 Jul 1990
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"22 Nov 1989","AUD",0.220000,-,-,0.220000,-,0.220000,-,12 Jan 1990,8 Jan 1990,5 Feb 1990
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"24 May 1989","AUD",0.220000,-,-,0.220000,-,0.220000,-,16 Jun 1989,12 Jun 1989,14 Jul 1989
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Special Dividend,"28 Nov 1988","NZD",-,-,-,-,-,-,-,31 Mar 1989,23 Mar 1989,21 Apr 1989
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Final Dividend,"28 Nov 1988","NZD",-,-,-,-,-,-,-,13 Jan 1989,9 Jan 1989,10 Feb 1989
"ANZ","Australia and New Zealand Banking Group Limited Ord Shares",Interim Dividend,"17 May 1988","NZD",-,-,-,-,-,-,-,2 Jun 1988,30 May 1988,2 Jul 1988


Footnote:
* payment amounts shown in dollars per share / security.
* interest payments history available from approximately September 2010 onwards.
* RWT is estimated based on a personal tax rate of 33%. Values may differ depending on the issuer's PIE status and/or the investor's personal tax status.
* Ex Date rules changed on 1 Sep 2010 from RD+1 to RD-2.
