"Date","Bid","Ask","First","High","Low","Last","Change","Capital Adjusted","Volume Traded","$ Value Traded","Trades"
"12 Aug 2019","29.420","29.800","29.490","29.820","29.490","29.670","+0.160","+29.670","7978","237106.68","31"
"09 Aug 2019","29.490","29.600","29.510","29.590","29.450","29.510","+0.070","+29.510","15272","450723.33","39"
"08 Aug 2019","29.350","29.440","29.690","29.690","29.000","29.440","-0.360","+29.440","14326","418250.69","43"
"07 Aug 2019","28.700","29.850","28.870","29.800","28.650","29.800","+0.930","+29.800","14405","417059.53","58"
"06 Aug 2019","28.850","28.870","29.480","29.480","28.500","28.870","-0.760","+28.870","31109","896865.34","87"
"05 Aug 2019","29.550","30.000","29.950","30.110","29.620","29.630","-0.320","+29.630","28190","843128.77","74"
"02 Aug 2019","29.840","30.090","30.000","30.020","29.790","29.950","-0.190","+29.950","19693","589618.12","63"
"01 Aug 2019","30.000","30.160","29.880","30.190","29.810","30.140","+0.240","+30.140","13633","409794.84","51"
"31 Jul 2019","29.660","30.000","30.150","30.150","29.900","29.900","-0.250","+29.900","10449","313099.95","46"
"30 Jul 2019","30.000","30.170","29.900","30.150","29.900","30.150","+0.250","+30.150","27536","828636.02","62"
"29 Jul 2019","29.660","30.000","29.950","29.950","29.800","29.900","+0.110","+29.900","8920","266413.34","38"
"26 Jul 2019","29.650","30.000","29.790","30.000","29.790","29.790","-0.040","+29.790","19484","582259.43","42"
"25 Jul 2019","29.820","29.980","29.510","29.940","29.510","29.830","+0.170","+29.830","19908","593157.25","74"
"24 Jul 2019","29.500","29.700","29.200","29.660","29.200","29.660","+0.550","+29.660","17447","514159.01","83"
"23 Jul 2019","28.850","29.200","28.800","29.200","28.800","29.110","+0.290","+29.110","19659","570739.45","51"
"22 Jul 2019","28.650","28.820","29.000","29.060","28.800","28.820","-0.200","+28.820","10664","309036.48","38"
"19 Jul 2019","29.000","29.150","28.820","29.100","28.780","29.020","+0.200","+29.020","14453","418684.10","55"
"18 Jul 2019","28.720","29.150","29.000","29.000","28.600","28.820","-0.190","+28.820","9800","282374.53","51"
"17 Jul 2019","29.000","29.150","28.950","29.050","28.890","29.010","+0.060","+29.010","11269","326764.20","32"
"16 Jul 2019","28.750","28.950","29.100","29.150","28.800","28.950","-0.100","+28.950","13820","399571.91","54"
"15 Jul 2019","28.980","29.150","29.380","29.410","29.000","29.050","-0.290","+29.050","12702","370807.65","49"
"12 Jul 2019","29.360","29.700","29.300","29.480","29.250","29.340","-0.060","+29.340","10607","311282.39","30"
"11 Jul 2019","29.200","29.400","29.350","29.400","29.000","29.400","+0.050","+29.400","13645","398265.94","45"
"10 Jul 2019","29.350","29.400","29.500","29.530","29.350","29.350","+0.170","+29.350","6261","184187.60","20"
"09 Jul 2019","29.200","29.250","29.420","29.420","29.180","29.180","-0.270","+29.180","11381","333047.60","25"
"08 Jul 2019","29.420","29.700","29.850","29.850","29.450","29.450","-0.440","+29.450","1710","50693.40","10"
"05 Jul 2019","29.510","29.900","29.660","29.890","29.640","29.890","+0.340","+29.890","7195","214362.31","28"
"04 Jul 2019","29.510","29.750","29.500","29.580","29.390","29.550","+0.160","+29.550","6386","188430.08","20"
"03 Jul 2019","29.250","29.750","29.400","29.500","28.960","29.390","-0.060","+29.390","9773","285379.74","23"
"02 Jul 2019","29.370","29.450","29.700","29.700","29.360","29.450","-0.130","+29.450","11260","332600.07","45"
"01 Jul 2019","29.570","29.750","29.640","29.870","29.550","29.580","-0.210","+29.580","14056","416616.31","34"
"28 Jun 2019","29.550","29.790","29.360","29.790","29.350","29.790","+0.440","+29.790","13356","395010.37","29"
"27 Jun 2019","29.350","29.480","29.490","29.490","29.300","29.350","-0.010","+29.350","9227","271012.18","32"
"26 Jun 2019","29.360","29.610","29.620","29.620","29.350","29.360","-0.140","+29.360","9125","268997.42","37"
"25 Jun 2019","29.500","30.000","29.590","29.770","29.500","29.500","-0.120","+29.500","10667","315894.65","37"
"24 Jun 2019","29.540","30.090","29.570","29.710","29.570","29.620","+0.070","+29.620","19250","570233.14","26"
"21 Jun 2019","29.460","29.550","29.850","30.000","29.510","29.550","-0.300","+29.550","5721","170182.75","22"
"20 Jun 2019","29.800","29.950","29.800","30.000","29.600","29.850","+0.050","+29.850","13841","411712.88","40"
"19 Jun 2019","29.750","29.830","29.750","29.900","29.750","29.800","+0.200","+29.800","13426","400826.03","24"
"18 Jun 2019","29.550","29.750","29.550","29.600","29.400","29.600","-0.080","+29.600","9635","284175.57","29"
"17 Jun 2019","29.350","29.750","29.600","29.680","29.600","29.680","+0.340","+29.680","8576","254044.80","18"
"14 Jun 2019","29.250","29.800","29.750","29.750","29.000","29.340","-0.400","+29.340","10236","302081.97","34"
"13 Jun 2019","29.450","29.740","29.820","29.820","29.500","29.740","-0.130","+29.740","7896","234100.50","34"
"12 Jun 2019","29.550","29.870","29.900","30.090","29.710","29.870","+0.100","+29.870","18233","545695.62","79"
"11 Jun 2019","29.770","29.900","29.450","29.870","29.450","29.770","+0.320","+29.770","17138","510113.73","60"
"10 Jun 2019","29.400","29.500","29.440","29.460","29.440","29.450","0.000","+29.450","5316","156546.29","21"
"07 Jun 2019","29.400","29.450","29.400","29.490","29.400","29.450","+0.060","+29.450","5768","169744.43","27"
"06 Jun 2019","29.150","29.390","29.140","29.390","29.050","29.390","+0.250","+29.390","6387","186054.10","41"
"05 Jun 2019","29.000","29.150","29.100","29.260","29.000","29.140","+0.440","+29.140","5295","154738.76","18"
"04 Jun 2019","28.590","29.000","29.000","29.000","28.500","28.700","-0.610","+28.700","11018","316654.63","36"
"31 May 2019","29.310","29.500","29.290","29.310","29.000","29.310","+0.020","+29.310","6343","184730.61","31"
"30 May 2019","29.290","29.600","29.200","29.360","29.180","29.290","-0.010","+29.290","6707","196271.53","41"
"29 May 2019","29.250","29.600","29.400","29.400","29.230","29.300","-0.300","+29.300","26015","760120.70","13"
"28 May 2019","29.100","29.680","29.600","29.600","29.430","29.600","0.000","+29.600","10150","299886.27","41"
"27 May 2019","29.400","29.800","29.520","29.670","29.480","29.600","-0.070","+29.600","12790","377919.85","41"
"24 May 2019","29.450","29.700","29.600","29.750","29.500","29.670","-0.230","+29.670","19205","569059.09","35"
"23 May 2019","29.500","30.000","30.000","30.020","29.740","29.900","-0.510","+29.900","7991","238774.18","20"
"22 May 2019","30.410","30.500","29.920","30.560","29.920","30.410","+0.470","+30.410","69953","2112687.29","160"
"21 May 2019","29.860","29.970","28.990","30.010","28.990","29.940","+0.690","+29.940","65001","1931415.23","243"
"20 May 2019","27.500","29.200","27.150","29.260","27.150","29.250","+2.450","+29.250","63458","1825077.91","257"
"17 May 2019","26.800","26.850","27.270","27.350","26.800","26.800","-0.360","+26.800","58902","1593122.30","111"
"16 May 2019","27.150","27.750","27.550","27.550","27.080","27.160","-0.267","+27.160","30377","827106.06","105"
"15 May 2019","28.400","28.750","28.400","28.520","28.280","28.420","+0.050","+28.420","16179","460060.88","69"
"14 May 2019","28.280","28.500","28.600","28.600","28.250","28.370","-0.310","+28.370","21390","607690.32","48"
"13 May 2019","28.650","29.000","28.740","28.850","28.670","28.680","-0.030","+28.680","15070","433036.17","63"
"10 May 2019","28.750","29.000","28.720","28.850","28.700","28.710","+0.010","+28.710","15811","454414.81","47"
"09 May 2019","28.700","28.850","28.870","28.870","28.700","28.700","-0.120","+28.700","12849","370445.08","41"
"08 May 2019","28.700","28.870","28.500","28.950","28.500","28.820","+0.070","+28.820","20401","586493.49","47"
"07 May 2019","28.600","29.150","28.650","29.150","28.630","28.750","+0.190","+28.750","21714","628366.04","51"
"06 May 2019","28.560","28.960","29.000","29.000","28.400","28.560","-0.530","+28.560","13385","383556.08","48"
"03 May 2019","28.870","29.870","29.000","29.120","28.880","29.090","+0.090","+29.090","25203","730221.57","93"
"02 May 2019","29.000","29.010","29.730","29.730","29.000","29.000","-0.730","+29.000","15638","455923.70","70"
"01 May 2019","29.730","29.900","29.000","29.850","29.000","29.730","+0.580","+29.730","25306","748749.92","88"
"30 Apr 2019","28.680","29.240","29.150","29.250","29.070","29.150","+0.150","+29.150","13582","396048.89","83"
"29 Apr 2019","28.660","29.000","29.050","29.300","29.000","29.000","0.000","+29.000","8861","258115.07","38"
"26 Apr 2019","29.000","29.350","29.140","29.240","28.990","29.000","-0.150","+29.000","17070","497886.42","35"
"24 Apr 2019","29.150","29.350","28.980","29.280","28.980","29.150","+0.200","+29.150","8429","245924.41","96"
"23 Apr 2019","28.630","29.490","28.650","29.050","28.630","28.950","+0.330","+28.950","16341","471782.33","58"
"18 Apr 2019","27.980","28.650","28.620","28.800","28.300","28.620","0.000","+28.620","21123","604198.72","61"
"17 Apr 2019","27.860","28.800","27.990","28.650","27.900","28.620","+0.820","+28.620","16408","465271.83","62"
"16 Apr 2019","27.600","27.800","27.650","27.920","27.650","27.800","+0.210","+27.800","18604","516303.77","53"
"15 Apr 2019","27.500","27.600","27.500","27.640","27.500","27.590","+0.250","+27.590","10846","298981.06","43"
"12 Apr 2019","27.100","27.500","27.200","27.390","27.080","27.340","+0.170","+27.340","8778","238723.50","26"
"11 Apr 2019","27.270","27.400","27.460","27.460","27.050","27.170","-0.330","+27.170","9217","250207.52","47"
"10 Apr 2019","27.100","27.500","27.300","27.500","27.100","27.500","+0.160","+27.500","7997","218896.77","47"
"09 Apr 2019","27.200","27.450","27.300","27.340","27.100","27.340","+0.140","+27.340","4467","121806.18","30"
"08 Apr 2019","27.200","27.450","27.520","27.550","27.200","27.200","-0.300","+27.200","30072","822745.17","113"
"05 Apr 2019","27.530","27.600","27.630","27.630","27.420","27.500","+0.050","+27.500","15231","418804.78","33"
"04 Apr 2019","27.330","28.000","27.650","27.650","27.440","27.450","-0.240","+27.450","21959","604892.34","46"
"03 Apr 2019","27.650","27.740","27.730","27.730","27.490","27.690","+0.190","+27.690","7332","202784.52","47"
"02 Apr 2019","27.500","27.800","27.300","27.820","27.250","27.500","+0.250","+27.500","31733","876494.69","40"
"01 Apr 2019","27.250","27.720","27.150","27.300","27.150","27.250","+0.110","+27.250","11215","305501.36","31"
"29 Mar 2019","27.000","27.250","27.000","27.250","27.000","27.140","+0.250","+27.140","9552","258986.21","23"
"28 Mar 2019","26.510","27.000","27.000","27.000","26.830","26.890","+0.090","+26.890","15099","406248.94","42"
"27 Mar 2019","26.800","26.950","26.890","27.040","26.550","26.800","-0.040","+26.800","19456","519978.75","57"
"26 Mar 2019","26.690","27.000","26.820","26.920","26.660","26.840","+0.040","+26.840","21084","563502.81","55"
"25 Mar 2019","26.700","28.000","27.150","27.150","26.730","26.800","-0.570","+26.800","16035","430604.67","47"
"22 Mar 2019","27.150","28.000","27.100","27.370","27.060","27.370","+0.310","+27.370","40547","1105768.40","27"
"21 Mar 2019","27.000","28.160","27.200","27.200","27.010","27.060","-0.060","+27.060","8709","236080.10","40"
"20 Mar 2019","27.130","27.990","27.340","27.340","27.120","27.120","-0.230","+27.120","3260","88756.12","22"
"19 Mar 2019","27.350","28.000","27.480","27.640","27.350","27.350","-0.030","+27.350","8900","244645.90","29"
"18 Mar 2019","27.300","28.000","28.000","28.000","27.380","27.380","-0.750","+27.380","7266","199380.61","26"
"15 Mar 2019","27.300","28.180","27.410","28.130","27.380","28.130","+0.850","+28.130","25359","700770.21","41"
"14 Mar 2019","27.250","27.360","27.350","27.460","27.280","27.280","-0.020","+27.280","5358","146650.70","33"
"13 Mar 2019","27.300","27.460","27.800","27.800","27.300","27.300","-0.690","+27.300","11271","310471.88","49"
"12 Mar 2019","27.800","28.350","28.000","28.020","27.920","27.990","+0.040","+27.990","15880","444216.99","51"
"11 Mar 2019","27.890","28.350","27.900","28.000","27.830","27.950","-0.050","+27.950","6919","193105.54","29"
"08 Mar 2019","27.870","28.350","28.200","28.250","27.870","28.000","-0.250","+28.000","5831","163923.58","23"
"07 Mar 2019","28.000","28.580","28.240","28.500","28.240","28.250","+0.010","+28.250","5901","167410.12","35"
"06 Mar 2019","27.870","28.300","28.250","28.290","28.200","28.240","+0.010","+28.240","8450","238186.30","11"
"05 Mar 2019","27.910","28.390","27.940","28.230","27.900","28.230","+0.010","+28.230","34428","962870.25","82"
"04 Mar 2019","27.950","28.390","28.210","28.330","28.130","28.220","+0.320","+28.220","12411","350172.13","39"
"01 Mar 2019","27.900","28.230","28.000","28.320","27.900","27.900","-0.130","+27.900","9609","270982.26","49"
"28 Feb 2019","27.920","28.100","27.510","28.040","27.510","28.030","+0.260","+28.030","20387","568952.55","57"
"27 Feb 2019","27.500","27.840","27.500","27.830","27.500","27.770","+0.270","+27.770","3361","93105.30","17"
"26 Feb 2019","27.450","27.500","27.650","27.870","27.500","27.500","-0.160","+27.500","15399","426207.91","54"
"25 Feb 2019","27.650","27.800","27.900","27.900","27.640","27.660","-0.190","+27.660","15564","432710.99","32"
"22 Feb 2019","27.800","28.250","28.000","28.100","27.850","27.850","-0.120","+27.850","8337","233568.90","23"
"21 Feb 2019","27.500","28.100","27.550","28.000","27.550","27.970","+0.470","+27.970","21472","598845.61","70"
"20 Feb 2019","27.400","27.770","27.770","27.770","27.490","27.500","-0.220","+27.500","10483","289842.92","25"
"19 Feb 2019","27.180","27.800","27.350","27.750","27.350","27.720","+0.500","+27.720","6740","185452.48","11"
"18 Feb 2019","27.160","27.850","27.300","27.500","27.200","27.220","+0.080","+27.220","9661","264794.45","32"
"15 Feb 2019","27.200","27.990","27.230","27.230","27.050","27.140","-0.150","+27.140","5208","141350.73","19"
"14 Feb 2019","27.250","27.400","27.450","27.470","27.290","27.290","-0.160","+27.290","6089","166784.63","17"
"13 Feb 2019","27.320","28.000","27.660","27.990","27.380","27.450","-0.210","+27.450","18680","515606.91","50"
"12 Feb 2019","27.520","28.000","27.740","27.830","27.650","27.660","+0.010","+27.660","17036","472433.15","34"
"11 Feb 2019","27.500","28.320","28.200","28.200","27.600","27.650","-0.510","+27.650","5493","153319.94","18"
"08 Feb 2019","27.950","28.320","28.200","28.400","28.000","28.160","-0.090","+28.160","10920","308167.20","46"
"07 Feb 2019","27.650","28.220","28.050","28.250","27.750","28.250","+0.170","+28.250","16338","459509.16","34"
"05 Feb 2019","28.080","28.200","26.100","28.210","26.100","28.080","+2.030","+28.080","46543","1287271.57","99"
"04 Feb 2019","26.050","26.100","25.840","26.150","25.750","26.050","+0.280","+26.050","10347","268605.34","39"
"01 Feb 2019","25.600","25.770","25.800","25.840","25.330","25.770","-0.230","+25.770","20648","529858.91","51"
"31 Jan 2019","25.950","26.000","26.500","26.520","25.910","26.000","-0.400","+26.000","10982","287823.53","32"
"30 Jan 2019","26.310","26.980","26.480","26.510","26.400","26.400","-0.070","+26.400","5741","151778.50","18"
"29 Jan 2019","26.470","27.000","27.100","27.100","26.460","26.470","-0.770","+26.470","25592","680535.29","64"
"28 Jan 2019","27.100","27.240","27.240","27.240","27.240","27.240","+0.010","+27.240","1180","32143.20","3"
"25 Jan 2019","27.100","27.250","26.940","27.250","26.940","27.230","+0.330","+27.230","10944","296687.77","46"
"24 Jan 2019","26.820","27.250","27.050","27.100","26.810","26.900","-0.180","+26.900","8574","231232.67","44"
"23 Jan 2019","27.020","27.050","27.050","27.200","27.000","27.080","-0.140","+27.080","7218","195321.43","30"
"22 Jan 2019","27.060","27.550","27.810","27.810","27.220","27.220","-0.720","+27.220","17371","478609.67","55"
"21 Jan 2019","27.800","27.990","27.780","27.940","27.780","27.940","+0.180","+27.940","11892","331471.83","42"
"18 Jan 2019","27.510","27.980","27.650","27.910","27.650","27.760","+0.130","+27.760","15524","431366.52","68"
"17 Jan 2019","27.500","27.650","27.750","27.800","27.600","27.630","+0.130","+27.630","6705","185695.71","30"
"16 Jan 2019","27.400","27.650","27.100","27.500","27.100","27.500","+0.500","+27.500","10090","275455.94","48"
"15 Jan 2019","27.000","27.390","27.100","27.200","27.000","27.000","-0.100","+27.000","5830","158241.43","33"
"14 Jan 2019","27.000","27.390","27.250","27.250","27.100","27.100","-0.110","+27.100","5206","141661.09","25"
"11 Jan 2019","27.000","27.250","27.150","27.270","27.120","27.210","+0.050","+27.210","3497","95171.45","18"
"10 Jan 2019","27.010","27.250","27.200","27.300","27.110","27.160","-0.090","+27.160","3811","103701.75","17"
"09 Jan 2019","27.100","27.330","27.050","27.280","27.050","27.250","+0.260","+27.250","6515","176603.46","25"
"08 Jan 2019","26.150","27.080","26.830","26.990","26.400","26.990","+0.170","+26.990","5168","137986.18","39"
"07 Jan 2019","26.400","26.990","26.500","26.820","26.500","26.820","+0.700","+26.820","10336","276390.05","34"
"04 Jan 2019","25.760","26.300","26.300","26.300","25.750","26.120","-0.200","+26.120","3249","84727.62","12"
"03 Jan 2019","26.300","26.320","26.510","26.510","25.850","26.320","-0.190","+26.320","14000","364382.78","53"
"31 Dec 2018","26.000","26.510","26.510","26.510","26.510","26.510","+0.660","+26.510","972","25767.72","2"
"28 Dec 2018","25.850","27.000","25.220","25.850","25.220","25.850","+0.540","+25.850","2356","60415.53","22"
"27 Dec 2018","25.220","26.000","24.510","25.380","24.510","25.310","+0.810","+25.310","4275","108193.50","25"
"24 Dec 2018","24.500","25.000","24.950","24.950","24.500","24.500","-0.500","+24.500","10368","257063.60","47"
"21 Dec 2018","24.800","25.000","25.470","25.500","24.730","25.000","-0.550","+25.000","31222","781973.54","114"
"20 Dec 2018","25.470","26.000","25.280","25.600","25.250","25.550","+0.090","+25.550","12455","315659.28","35"
"19 Dec 2018","25.460","25.500","25.550","25.950","25.450","25.460","-0.090","+25.460","18477","475814.39","94"
"18 Dec 2018","25.500","25.980","25.970","25.970","25.550","25.550","-0.450","+25.550","13031","334786.01","63"
"17 Dec 2018","25.980","26.400","26.300","26.300","25.920","26.000","-0.330","+26.000","28242","734408.27","101"
"14 Dec 2018","26.310","27.280","26.610","26.610","26.300","26.330","-0.600","+26.330","6319","166840.04","32"
"13 Dec 2018","26.500","26.930","26.700","27.060","26.700","26.930","+0.230","+26.930","23611","634715.42","50"
"12 Dec 2018","26.400","26.700","26.300","26.700","26.210","26.700","+0.600","+26.700","12803","338157.19","37"
"11 Dec 2018","26.080","26.300","26.160","26.230","25.900","26.100","-0.040","+26.100","18505","482534.37","54"
"10 Dec 2018","26.050","26.160","26.950","26.950","26.080","26.140","-0.910","+26.140","17493","460070.09","59"
"07 Dec 2018","26.950","27.300","27.000","27.210","26.950","27.050","+0.170","+27.050","10415","282333.95","34"
"06 Dec 2018","27.000","27.350","27.000","27.050","26.750","26.880","-0.070","+26.880","9349","251436.45","21"
"05 Dec 2018","26.830","27.000","27.330","27.330","26.730","26.950","-0.550","+26.950","12642","339946.43","53"
"04 Dec 2018","27.410","27.850","27.920","27.920","27.500","27.500","-0.300","+27.500","9994","276926.57","54"
"03 Dec 2018","27.800","28.400","27.880","28.030","27.800","27.800","-0.080","+27.800","7005","195534.33","31"
"30 Nov 2018","27.700","27.880","28.300","28.300","27.800","27.880","-0.320","+27.880","12682","354520.30","29"
"29 Nov 2018","28.200","28.800","28.020","28.250","28.020","28.200","+0.200","+28.200","21378","600073.17","24"
"28 Nov 2018","27.400","28.000","28.140","28.140","27.900","28.000","-0.040","+28.000","8226","230480.70","27"
"27 Nov 2018","27.400","28.250","27.760","28.040","27.500","28.040","+0.440","+28.040","7990","222352.86","30"
"26 Nov 2018","27.600","27.720","27.680","27.890","27.600","27.600","+0.100","+27.600","11761","326246.82","40"
"23 Nov 2018","27.500","27.890","27.170","27.510","27.150","27.500","+0.350","+27.500","7324","200575.86","26"
"22 Nov 2018","27.150","27.400","27.300","27.300","27.100","27.150","-0.070","+27.150","11824","320930.85","34"
"21 Nov 2018","27.060","27.300","26.900","27.230","26.730","27.220","+0.320","+27.220","23043","621428.98","71"
"20 Nov 2018","26.790","26.900","26.800","26.980","26.610","26.900","+0.250","+26.900","25129","672434.90","67"
"19 Nov 2018","26.650","26.900","27.200","27.200","26.600","26.650","-0.410","+26.650","25970","698964.74","89"
"16 Nov 2018","27.060","27.780","27.010","27.200","26.950","27.060","+0.160","+27.060","19456","526064.08","36"
"15 Nov 2018","26.850","27.890","27.410","27.410","26.790","26.900","-0.500","+26.900","40493","1094097.48","97"
"14 Nov 2018","27.400","27.550","28.080","28.100","27.300","27.400","-0.680","+27.400","46507","1290671.61","81"
"13 Nov 2018","28.000","28.080","28.500","29.000","27.930","28.080","-0.613","+28.080","31578","894242.08","63"
"12 Nov 2018","29.650","29.700","29.800","29.850","29.700","29.700","-0.020","+29.700","17213","512260.10","38"
